OBJECT_ID,TOP_TRAFFIC_ACCIDENT_OFFENSE,DRIVER_ACTION
70251,ACCIDENT,EXCEED SAFE/POSTED SPEED
70252,ACCIDENT,EXCEED SAFE/POSTED SPEED
70331,ACCIDENT,CARELESS DRIVING
91723,ACCIDENT,OTHER
70253,ACCIDENT,FAILED TO YIELD ROW
91725,ACCIDENT,EXCEED SAFE/POSTED SPEED
70337,ACCIDENT,  
70333,ACCIDENT,FOLLOWED TOO CLOSELY
70334,ACCIDENT,CARELESS DRIVING
70335,ACCIDENT,EXCEED SAFE/POSTED SPEED
91735,ACCIDENT,CARELESS DRIVING
70336,ACCIDENT,CARELESS DRIVING
70338,ACCIDENT,CARELESS DRIVING
70340,HIT & RUN,FOLLOWED TOO CLOSELY
70339,ACCIDENT,FOLLOWED TOO CLOSELY
70341,ACCIDENT,EXCEED SAFE/POSTED SPEED
70342,HIT & RUN,  
91736,ACCIDENT,EXCEED SAFE/POSTED SPEED
70343,ACCIDENT,EXCEED SAFE/POSTED SPEED
70344,ACCIDENT,FOLLOWED TOO CLOSELY
91737,ACCIDENT,EXCEED SAFE/POSTED SPEED
70345,ACCIDENT,OTHER
70346,ACCIDENT,EXCEED SAFE/POSTED SPEED
70347,ACCIDENT,EXCEED SAFE/POSTED SPEED
70348,ACCIDENT,EXCEED SAFE/POSTED SPEED
91738,ACCIDENT,OTHER
70349,ACCIDENT,FOLLOWED TOO CLOSELY
70350,ACCIDENT,EXCEED SAFE/POSTED SPEED
70351,ACCIDENT,  
70352,ACCIDENT,OTHER
70353,ACCIDENT,FAILED TO YIELD ROW
91739,ACCIDENT,FAILED TO YIELD ROW
70354,ACCIDENT,FAILED TO STOP AT SIGNAL
70355,ACCIDENT,CARELESS DRIVING
70357,ACCIDENT,EXCEED SAFE/POSTED SPEED
70356,ACCIDENT,CARELESS DRIVING
70436,ACCIDENT,FAILED TO YIELD ROW
70439,ACCIDENT,FOLLOWED TOO CLOSELY
70438,ACCIDENT,FOLLOWED TOO CLOSELY
70440,ACCIDENT,CARELESS DRIVING
70442,ACCIDENT,EXCEED SAFE/POSTED SPEED
70441,HIT & RUN,CARELESS DRIVING
70443,ACCIDENT,FOLLOWED TOO CLOSELY
70444,ACCIDENT,FAILED TO YIELD ROW
70445,ACCIDENT,FOLLOWED TOO CLOSELY
70446,ACCIDENT,FOLLOWED TOO CLOSELY
91831,ACCIDENT,FAILED TO YIELD ROW
70448,ACCIDENT,FAILED TO YIELD ROW
70449,ACCIDENT,FOLLOWED TOO CLOSELY
70451,HIT & RUN,IMPROPER BACKING
70450,HIT & RUN,FAILED TO YIELD ROW
70452,ACCIDENT,FOLLOWED TOO CLOSELY
91832,ACCIDENT,LANE VIOLATION
70453,ACCIDENT,CARELESS DRIVING
70455,ACCIDENT,CARELESS DRIVING
70454,HIT & RUN,FAILED TO YIELD ROW
70456,ACCIDENT,FOLLOWED TOO CLOSELY
70457,ACCIDENT,FAILED TO YIELD ROW
91833,ACCIDENT,FOLLOWED TOO CLOSELY
70458,ACCIDENT,CARELESS DRIVING
70459,HIT & RUN,  
70460,ACCIDENT,FOLLOWED TOO CLOSELY
70461,ACCIDENT,FOLLOWED TOO CLOSELY
70770,HIT & RUN,LANE VIOLATION
91834,ACCIDENT,FAILED TO YIELD ROW
70462,ACCIDENT,OTHER
70540,ACCIDENT,  
70769,HIT & RUN,OTHER
70541,ACCIDENT,CARELESS DRIVING
70542,HIT & RUN,  
90323,ACCIDENT,FOLLOWED TOO CLOSELY
70543,ACCIDENT,FOLLOWED TOO CLOSELY
70544,ACCIDENT,CARELESS DRIVING
70546,ACCIDENT,LANE VIOLATION
70547,ACCIDENT,  
70661,HIT & RUN,  
69990,HIT & RUN,CARELESS DRIVING
70548,ACCIDENT,CARELESS DRIVING
90324,ACCIDENT,EXCEED SAFE/POSTED SPEED
70549,ACCIDENT,EXCEED SAFE/POSTED SPEED
70550,ACCIDENT,EXCEED SAFE/POSTED SPEED
70551,ACCIDENT,FAILED TO YIELD ROW
70552,ACCIDENT,CARELESS DRIVING
90325,ACCIDENT,CARELESS DRIVING
70554,ACCIDENT,CARELESS DRIVING
70555,ACCIDENT,FAILED TO YIELD ROW
70556,ACCIDENT,CARELESS DRIVING
70557,ACCIDENT,FOLLOWED TOO CLOSELY
90326,ACCIDENT,DISREGARD STOP SIGN
70559,ACCIDENT,FAILED TO YIELD ROW
70560,ACCIDENT,CARELESS DRIVING
70558,ACCIDENT,OTHER
70562,ACCIDENT,CARELESS DRIVING
70561,ACCIDENT,CARELESS DRIVING
90327,ACCIDENT,FAILED TO YIELD ROW
70563,ACCIDENT,EXCEED SAFE/POSTED SPEED
70565,ACCIDENT,  
90896,HIT & RUN,  
70564,HIT & RUN,EXCEED SAFE/POSTED SPEED
70647,HIT & RUN,OTHER
70567,ACCIDENT,OTHER
70566,ACCIDENT,EXCEED SAFE/POSTED SPEED
70568,ACCIDENT,CARELESS DRIVING
90328,ACCIDENT,EXCEED SAFE/POSTED SPEED
70648,ACCIDENT,EXCEED SAFE/POSTED SPEED
70649,ACCIDENT,EXCEED SAFE/POSTED SPEED
70650,HIT & RUN,CARELESS DRIVING
96055,ACCIDENT,CARELESS DRIVING
90337,ACCIDENT,EXCEED SAFE/POSTED SPEED
70652,ACCIDENT,CARELESS DRIVING
70653,ACCIDENT,FOLLOWED TOO CLOSELY
70651,ACCIDENT,  
70654,ACCIDENT,EXCEED SAFE/POSTED SPEED
70656,ACCIDENT,DISREGARD STOP SIGN
90338,ACCIDENT,EXCEED SAFE/POSTED SPEED
70657,ACCIDENT,FAILED TO YIELD ROW
70658,ACCIDENT,IMPROPER TURN
70659,ACCIDENT,EXCEED SAFE/POSTED SPEED
70660,POLICE,  
90339,ACCIDENT,OTHER
70665,ACCIDENT,FOLLOWED TOO CLOSELY
70666,ACCIDENT,EXCEED SAFE/POSTED SPEED
90340,ACCIDENT,EXCEED SAFE/POSTED SPEED
70667,ACCIDENT,EXCEED SAFE/POSTED SPEED
70668,HIT & RUN,LANE VIOLATION
70669,HIT & RUN,  
70670,ACCIDENT,CARELESS DRIVING
70671,ACCIDENT,FOLLOWED TOO CLOSELY
70672,ACCIDENT,IMPROPER TURN
90341,ACCIDENT,FAILED TO YIELD ROW
70674,ACCIDENT,CARELESS DRIVING
96057,ACCIDENT,IMPROPER BACKING
70752,ACCIDENT,CARELESS DRIVING
70751,ACCIDENT,OTHER
70753,ACCIDENT,EXCEED SAFE/POSTED SPEED
90431,ACCIDENT,FAILED TO YIELD ROW
70754,ACCIDENT,OTHER
70755,ACCIDENT,FAILED TO YIELD ROW
70756,HIT & RUN,CARELESS DRIVING
70757,ACCIDENT,FOLLOWED TOO CLOSELY
70758,HIT & RUN,FAILED TO YIELD ROW
90432,ACCIDENT,FAILED TO YIELD ROW
70759,ACCIDENT,FAILED TO YIELD ROW
70760,ACCIDENT,FAILED TO YIELD ROW
70761,ACCIDENT,FOLLOWED TOO CLOSELY
70762,ACCIDENT,CARELESS DRIVING
70767,HIT & RUN,CARELESS DRIVING
70763,HIT & RUN,  
90433,ACCIDENT,CARELESS DRIVING
70764,ACCIDENT,FOLLOWED TOO CLOSELY
70765,ACCIDENT,FAILED TO YIELD ROW
70766,HIT & RUN,OTHER
70768,ACCIDENT,CARELESS DRIVING
90434,ACCIDENT,FOLLOWED TOO CLOSELY
70771,ACCIDENT,FOLLOWED TOO CLOSELY
70772,HIT & RUN,OTHER
70773,HIT & RUN,FAILED TO YIELD ROW
70774,ACCIDENT,CARELESS DRIVING
90435,ACCIDENT,CARELESS DRIVING
70775,SBI,OTHER
70855,HIT & RUN,OTHER
70856,HIT & RUN,EXCEED SAFE/POSTED SPEED
70857,HIT & RUN,FOLLOWED TOO CLOSELY
70776,ACCIDENT,FOLLOWED TOO CLOSELY
70858,ACCIDENT,OTHER
70859,ACCIDENT,DISREGARD STOP SIGN
70860,ACCIDENT,FAILED TO YIELD ROW
90526,ACCIDENT,CARELESS DRIVING
70861,HIT & RUN,FAILED TO YIELD ROW
70862,ACCIDENT,DISREGARD STOP SIGN
70865,ACCIDENT,OTHER
70866,ACCIDENT,FAILED TO YIELD ROW
90527,ACCIDENT,LANE VIOLATION
70867,ACCIDENT,FOLLOWED TOO CLOSELY
70869,ACCIDENT,FAILED TO YIELD ROW
70868,ACCIDENT,FAILED TO STOP AT SIGNAL
70870,ACCIDENT,FAILED TO YIELD ROW
70871,ACCIDENT,LANE VIOLATION
90528,HIT & RUN,CARELESS DRIVING
70872,ACCIDENT,LANE VIOLATION
70873,ACCIDENT,FOLLOWED TOO CLOSELY
70874,ACCIDENT,FOLLOWED TOO CLOSELY
90740,HIT & RUN,OTHER
70875,ACCIDENT,LANE VIOLATION
70876,HIT & RUN,IMPROPER BACKING
70881,HIT & RUN,  
90529,ACCIDENT,OTHER
70877,ACCIDENT,FOLLOWED TOO CLOSELY
70880,ACCIDENT,IMPROPER BACKING
70878,ACCIDENT,FOLLOWED TOO CLOSELY
70879,ACCIDENT,CARELESS DRIVING
90530,ACCIDENT,FOLLOWED TOO CLOSELY
70961,ACCIDENT,  
70962,ACCIDENT,FAILED TO STOP AT SIGNAL
70963,ACCIDENT,LANE VIOLATION
70964,ACCIDENT,OTHER
90544,ACCIDENT,FOLLOWED TOO CLOSELY
70965,ACCIDENT,FOLLOWED TOO CLOSELY
70966,ACCIDENT,LANE VIOLATION
70967,ACCIDENT,IMPROPER PASSING ON LEFT
70968,ACCIDENT,CARELESS DRIVING
70969,ACCIDENT,FAILED TO STOP AT SIGNAL
90545,HIT & RUN,LANE VIOLATION
70971,ACCIDENT,FOLLOWED TOO CLOSELY
70970,SBI,CARELESS DRIVING
70972,ACCIDENT,CARELESS DRIVING
70973,ACCIDENT,OTHER
70974,ACCIDENT,FAILED TO YIELD ROW
70975,ACCIDENT,FAILED TO YIELD ROW
70976,ACCIDENT,FOLLOWED TOO CLOSELY
90546,ACCIDENT,EXCEED SAFE/POSTED SPEED
70977,ACCIDENT,FAILED TO YIELD ROW
96063,ACCIDENT,OTHER
70978,ACCIDENT,IMPROPER TURN
70979,ACCIDENT,FOLLOWED TOO CLOSELY
90547,ACCIDENT,FAILED TO YIELD ROW
70980,HIT & RUN,  
70981,HIT & RUN,CARELESS DRIVING
70986,ACCIDENT,FOLLOWED TOO CLOSELY
70982,ACCIDENT,FOLLOWED TOO CLOSELY
70983,ACCIDENT,CARELESS DRIVING
70984,HIT & RUN,OTHER IMPROPER TURNS
90628,ACCIDENT,IMPROPER PASSING ON LEFT
70985,ACCIDENT,FOLLOWED TOO CLOSELY
70264,HIT & RUN,OTHER
71065,ACCIDENT,OTHER
71066,ACCIDENT,FAILED TO YIELD ROW
71067,HIT & RUN,IMPROPER BACKING
71068,ACCIDENT,FAILED TO YIELD ROW
90639,ACCIDENT,LANE VIOLATION
71069,ACCIDENT,FOLLOWED TOO CLOSELY
71071,ACCIDENT,FOLLOWED TOO CLOSELY
71070,HIT & RUN,OTHER
71072,ACCIDENT,OTHER
71073,ACCIDENT,CARELESS DRIVING
90640,ACCIDENT,LANE VIOLATION
71075,DUI/DUID,CARELESS DRIVING
96136,HIT & RUN,OTHER
69941,HIT & RUN,CARELESS DRIVING
71077,FATAL,  
71078,ACCIDENT,EXCEED SAFE/POSTED SPEED
71079,ACCIDENT,  
71081,HIT & RUN,CARELESS DRIVING
91824,HIT & RUN,DISREGARD STOP SIGN
90641,ACCIDENT,OTHER
71080,ACCIDENT,FAILED TO STOP AT SIGNAL
71082,ACCIDENT,EXCEED SAFE/POSTED SPEED
71083,ACCIDENT,FAILED TO YIELD ROW
71378,HIT & RUN,  
90642,ACCIDENT,EXCEED SAFE/POSTED SPEED
71084,ACCIDENT,EXCEED SAFE/POSTED SPEED
71085,HIT & RUN,EXCEED SAFE/POSTED SPEED
71086,ACCIDENT,FAILED TO YIELD ROW
71087,ACCIDENT,OTHER
90643,ACCIDENT,OTHER
71088,ACCIDENT,FOLLOWED TOO CLOSELY
71089,ACCIDENT,EXCEED SAFE/POSTED SPEED
71090,ACCIDENT,OTHER
71091,HIT & RUN,EXCEED SAFE/POSTED SPEED
71169,HIT & RUN,OTHER
90744,ACCIDENT,FOLLOWED TOO CLOSELY
71170,ACCIDENT,OTHER
71172,ACCIDENT,DISREGARD STOP SIGN
71171,ACCIDENT,FAILED TO YIELD ROW
71173,HIT & RUN,FOLLOWED TOO CLOSELY
71174,ACCIDENT,FOLLOWED TOO CLOSELY
90728,ACCIDENT,EXCEED SAFE/POSTED SPEED
71176,ACCIDENT,  
71177,HIT & RUN,OTHER
71178,ACCIDENT,EXCEED SAFE/POSTED SPEED
